id,scenario_id,category,title,description,listing_price,buyer_target,buyer_cost,seller_target,seller_cost
0,S_6Bcls3VtniHs9vXk,phone,Verizon Car Charger with Dual Output Micro USB and LED Light,Charge two devices simultaneously on the go. This vehicle charger with an additional USB port delivers enough power to charge two devices at once. The push-button activated LED connector light means no more fumbling in the dark trying to connect your device. Auto Detect IC Technology automatically detects the device type and its specific charging needs for improved compatibility. And the built-in indicator light illuminates red to let you know the charger is receiving power and the power socket is working properly.,10,7,10,10,7
1,S_KBCT5vA6znuh9TvV,bike,Long board custom bilt from the board up,Hey there cl I have a long board for sale pretty much brand knew rode all together 4 or 5 times . The brand on the deck is a gravity skateboard. The brand of trucks are sidewinder 2sGuwuing.mini monster hawgs 70mm 78a Wheels with Swiss bones bearings brand new. Please no low ballers thank you and have a great day .,200,120,200,200,119
2,S_Jrg93XX4AYzY9IQ7,housing,A 4 bedroom single family house for rent in central Fremont,"This is a single family house in an excellent condition. It will be available for move-in on July 2017. It's in a very nice and quiet community with great school district. Email me for viewing or further information. Thanks. Huge living room and family room, plus 4 spacious bedrooms 2 generous bathrooms with bathtubs Great school district (Oliveira elementary, Thornton junior high, American high) Few mins drive to Bart and Lucky and 99 Supermarkets Spacious two-car garage Easy access to FWY 880 and Dumbarton Bridge. Deposit: one month rent Lease: one year minimum, longer preferred No pet or smoking. No section 8. No sub-leasing. Tenant pay all utilities. Gardening is included in the rent",3200,1920,3200,3200,1878
3,S_BPTzvYVeri3mn93K,furniture,Sectional Couch,I am remodeling my space and selling a beautiful custom modern terra cotta color sectional couch. It is in like-new condition and can be taken apart in two pieces while transporting. Absolutely no wear or tear in a non-smoking home. I am located in the Sunset district of SF. Please email if you are interested in seeing it. Thank you! Sectional: 38L x 87W,585,444,585,585,408
4,S_d4C8thhPACvbiI0Q,furniture,Beautiful Cherry Hutch,"MUST SEE!!! Like new ! - making space in our Designer Showroom - Must go, must go!!! Perfect for interiors, bonus room, office, special storage - make us a deal! Beautiful cherry hutch with a dark stain. Decorative glass counter. Price Negotiable!",1000,600,1000,1000,499
5,S_giLiVHRQFwUczwhy,furniture,Office Client Waiting Room CHAIRS,"Still sturdy and good, average condition. Some small tear on some by being placed against wall, but doesnt show much Great For waiting room, client chairs etc.",18,10,18,18,10
6,S_2YNe6prmUlkbpuJN,car,2006 Toyota 4Runner 4WD - Only 106k Miles - Clean Title,"Selling my 2006 Toyota 4 Runner with only 106k original miles. The truck is in great condition with no mechanical flaws whatsoever and a clean accident history. Got new tires about 3,000 miles ago. Always has the oil changed on time (due in about 1k). Just got a thorough cleaning inside and a wash and wax outside (still wet in the photos). This truck has never been offroad, but the 4WD is working perfectly from the few times we've been up to Tahoe in it. However, it's a 10+ year old truck that's been driven, not babied and garaged all the time. It's got some scratches, paint is not perfect, but zero body damage. Please reach out to me with your phone number and when you're interested in viewing the truck (evenings are best for me). I will set up some appointments. I know the value of these cars. If your plan is to come here, look at the truck and try to get me to knock a few thousand off cause you have cash, don't waste your time and my time. I'm a busy guy.",14500,8700,14500,14500,8264
7,S_cqpfwVn2KbpLhHaH,housing,Beautiful Renovated Studio with Balcony by Lake Merritt,"This beautiful remodeled studio offers: Refinished hardwood floors Great studio layout with sleeping area Brand new kitchen with stainless steel appliances Private balcony with Oakland views Brand new bathroom with incredible lighting Two huge closets (one with full-length mirrors) Laundry and Elevator in the building Spend your evenings strolling around Lake Merritt, grab coffee (or a beer) at the fabulous Rooz Cafe just around the corner, or walk over to Lucky's grocery store, pickup a carton of ice cream and spend the night snuggled up with your loved ones in this secure, pet-friendly apartment. This unit is great for commuters as it's 1 mile away from Lake Merritt BART station, and is walking-distance from a Walgreens, Chase Bank, various cafes, a laundromat, and several restaurants. Oh, and did we mention you'll be living right next to the Lake? We also have a few 1 bedrooms left in the same building. Take a look at them all and have your pick! Alexandra Burgess | Leasing Agent We do business in accordance with Fair Housing Laws",1895,1743,1895,1895,1711
8,S_WuUwTNFoYXUoTzCY,car,2007 Mazda cx-9,2007 Mazda cx-9 2wheel drive. Truck has 138k miles. Did all brakes and rotors all around also just did tune up and transmission flush a week ago. Clean title. Also come with 22 inch rims and stock tires.,8800,6688,8800,8800,6377
9,S_1WzluH63pJcnxs7c,car,2016 mercedes benz c300,"Im selling 2016 Mercedes Benz C300 1OWNER  Automatic,Fully Loaded, Only 16,473 Miles,Car with Free Warranty,Please Serious Buyers  Don""t Waste my Time Thanks",26800,24656,26800,26800,24440
10,S_43OFqZDslp4EkMHh,phone,BLU R1 HD - 16 GB,BLU R1 HD - 16 GB - Black - Amazon Prime Exclusive - with Lockscreen Offers & Ads. Comes with case.,50,38,50,50,36
11,S_BU1pSG4UGGuv6d99,housing,Live/work 3br apt. ner West Oak. Bart & S.F.,2950.00 for a 3 bedrooms and 2 Bathrooms Live/work apartment near the West Oakland Bart Station and about 10 minutes to San Francisco via Bay Bridge this space is 10 ft. ceiling the floors are ceramic title and Laminated the ceiling have 2 skylights and 1 off street parking with laundry hookups the address is 333 Henry St. Oakland the deposit is 1500.00 no section 8 if you have any question you can call Rafa at to schedule a time,2950,2714,2950,2950,2681
12,S_cFqc6FiukST1ckZM,phone,Unlocked Brand New Apple iphone 7 Plus 128GB Jet Black,"We have rose gold, matte black and gold color too. This phone is unlocked. You can use the phones in all GSM SIM CARD carriers such as AT&T/T-Mobile or international -Cash only -Local starbucks for pick up -Apple Manufacturer Warranty",780,717,780,780,707
13,S_VyKVFXMG7nyktfTR,electronics,Macbook pros Macbook airs,looking for a macbook pro or macbook air I can arrange all kinds of MacBooks All macbooks serviced by certified apple technican all will look and function like new. Final Cut Pro. Microsoft Office 2016. Bluetooth. CD DVD player/burner. I can meet at a halfway point to cut down your drive time. thanks for looking.,300,180,300,300,146
14,S_Ayo4sFGpTfMmIpRS,furniture,Wooden FULL SIZED Futon w/ 2 Slip Covers $125 obo,Just bought on craigslist a few months ago. was exactly what I was looking for but ended up being a tight fit for the space. Classic design. comes with all white slip cover and dove grey slip cover.,125,95,125,125,91
15,S_rx0x4DR3hD7EmDdo,car,2014 TOYOTA PRIUS Hybrid,"Hi, I'm selling my 2014 Toyota Prius. It has only 65k miles. Backup camera, Bluetooth, CD, AUX, Keyless Go, There was no, engine, or transmission damage. Very clean inside, never smoke. Well maintained. Oil change every 5k miles with synthetic Toyota Original Oil. Registered until February 2019. Title on hands. It lost its clean title status due to rear bumper hit. Small scratch on the right side. I'm the second owner and had no any problem with it. The car is great, 50+ MPG. Will run 100k miles more easily. Call me or better text at any time",8900,8188,8900,8900,8057
16,S_u3gZ0rZ2h7JtPhEy,electronics,Brand NEW SanDisk ULTRA MicroSDXC 200GB,"I have a brand new unopened microSD card. Great for Android users, Nintendo Switch, 3DS and GoPro cameras, and beyond. On Amazon for more than this right now. This is a great deal.",75,69,75,75,68
17,S_Ux7qjMwN9jH49n9M,electronics,Bose Soundlink 3 brand new,"Brand new never use, i got it has a gift but i am using sonos system. Open to exchange for Sonos play 3, 5, or subwoofer. Warranty available from Bose.",220,132,220,220,115
18,S_wMKChhRKj0MgNopu,phone,Apple iPhone 5S 16gb Space Gray,Apple iPhone 5S 16gb Space Gray Like New Condition (no scratches anywhere) Will be reset to factory specs before sale Has always had a screen protector Includes Original box Includes Original charger Includes new Verizon 4G LTE SIM card,160,121,160,160,115
20,S_WA7LD6RS1zRPbACa,car,2006 BMW x5,"If you want to buy a trouble free car keep reading, if you are looking for a bargain and don't have a problem with huge repair costs after buying your car please find another one. Selling my 2006 BMW X5, 117K miles, Difficult to find it in these miles!!! Mint condition, it has had all maintenance done, recently had all gaskets on engine replaced so no oil leaks whatsoever. Has had the transmission and transfer case oils replaced in the last month. Brand new tires are about a month old. Does not need any work and runs great, 3.0 engine so very reliable and good on gas, about 25 mpg on freeway and 19 mpg around town driving. Spark plugs changed about 3 months ago. DVD player, navigation system, upgraded speakers, Panoramic glass roof, second battery, just was detailed and all carpets washed, again car does not need any work and runs great. Had an alignment performed a month ago after the tires were replaced. All brake pads are less than a year old and in great condition. Had them checked when tires were being installed. Car history clean.",9000,8280,9000,9000,8170
21,S_pybIsssvLX7PAix7,electronics,"Federal Pacific,  ( FPE), stab-lok Circuit Breaker","I have NEW original, hard to find, Federal Pacific Electric ( FPE), also known as STAB-LOK,  later also made by American Circuit Breaker and Challenger.  These are NEW, original manufacturer, (OEM), breakers, not after market or refurbished (used and cleaned).  I also have brand new original FPE sub panels and service panels of different types.  I have more breakers of other sizes as well.  I bought this equipment many years ago, before I retired and when Federal Pacific was Federal Pacific Electric and produced high grade equipment.  FPE breakers later got a bad rap when after market breakers came in to the market. Originally, Federal Pacific Electric ( FPE) was the only residential switching manufacturer using only copper, not aluminum, in their breakers and panels. This fact can be very important when installed near salt water, livestock or excessive moisture areas that can destroy aluminum. These materials are BRAND NEW and have been in my stock for over thirty to forty years.  If you have the need for FPE call me.                       I do not text. Also, have good stock of NEW original Zinsco / sylvania breakers and panels, again (NOT AFTER MARKET) The 2P80 in picture is gone.",110,83,110,110,76
