scenario_id,post_id,category,title,description,listing_price,images,buyer_target,buyer_bottomline,seller_target,seller_bottomline,intersection,target_gap
S_6Bcls3VtniHs9vXk,6149527852,phone,Verizon Car Charger with Dual Output Micro USB and LED Light,Charge two devices simultaneously on the go. This vehicle charger with an additional USB port delivers enough power to charge two devices at once. The push-button activated LED connector light means no more fumbling in the dark trying to connect your device. Auto Detect IC Technology automatically detects the device type and its specific charging needs for improved compatibility. And the built-in indicator light illuminates red to let you know the charger is receiving power and the power socket is working properly.,10,phone/6149527852_0.jpg,7,,10,,0.6,3
S_KBCT5vA6znuh9TvV,6151236842,bike,Long board custom bilt from the board up,Hey there cl I have a long board for sale pretty much brand knew rode all together 4 or 5 times . The brand on the deck is a gravity skateboard. The brand of trucks are sidewinder 2sGuwuing.mini monster hawgs 70mm 78a Wheels with Swiss bones bearings brand new. Please no low ballers thank you and have a great day .,200,bike/6151236842_0.jpg,120,,200,,1.0,80
S_Jrg93XX4AYzY9IQ7,6131652108,housing,A 4 bedroom single family house for rent in central Fremont,"This is a single family house in an excellent condition. It will be available for move-in on July 2017. It's in a very nice and quiet community with great school district. Email me for viewing or further information. Thanks. Huge living room and family room, plus 4 spacious bedrooms 2 generous bathrooms with bathtubs Great school district (Oliveira elementary, Thornton junior high, American high) Few mins drive to Bart and Lucky and 99 Supermarkets Spacious two-car garage Easy access to FWY 880 and Dumbarton Bridge. Deposit: one month rent Lease: one year minimum, longer preferred No pet or smoking. No section 8. No sub-leasing. Tenant pay all utilities. Gardening is included in the rent",3200,,1920,,3200,,1.0,1280
S_BPTzvYVeri3mn93K,6131245434,furniture,Sectional Couch,I am remodeling my space and selling a beautiful custom modern terra cotta color sectional couch. It is in like-new condition and can be taken apart in two pieces while transporting. Absolutely no wear or tear in a non-smoking home. I am located in the Sunset district of SF. Please email if you are interested in seeing it. Thank you! Sectional: 38L x 87W,585,furniture/6131245434_0.jpg,444,,585,,0.6,141
S_d4C8thhPACvbiI0Q,6144504669,furniture,Beautiful Cherry Hutch,"MUST SEE!!! Like new ! - making space in our Designer Showroom - Must go, must go!!! Perfect for interiors, bonus room, office, special storage - make us a deal! Beautiful cherry hutch with a dark stain. Decorative glass counter. Price Negotiable!",1000,furniture/6144504669_0.jpg,600,,1000,,1.0,400
S_giLiVHRQFwUczwhy,6144868292,furniture,Office Client Waiting Room CHAIRS,"Still sturdy and good, average condition. Some small tear on some by being placed against wall, but doesnt show much Great For waiting room, client chairs etc.",18,,10,,18,,1.0,8
S_2YNe6prmUlkbpuJN,6126569187,car,2006 Toyota 4Runner 4WD - Only 106k Miles - Clean Title,"Selling my 2006 Toyota 4 Runner with only 106k original miles. The truck is in great condition with no mechanical flaws whatsoever and a clean accident history. Got new tires about 3,000 miles ago. Always has the oil changed on time (due in about 1k). Just got a thorough cleaning inside and a wash and wax outside (still wet in the photos). This truck has never been offroad, but the 4WD is working perfectly from the few times we've been up to Tahoe in it. However, it's a 10+ year old truck that's been driven, not babied and garaged all the time. It's got some scratches, paint is not perfect, but zero body damage. Please reach out to me with your phone number and when you're interested in viewing the truck (evenings are best for me). I will set up some appointments. I know the value of these cars. If your plan is to come here, look at the truck and try to get me to knock a few thousand off cause you have cash, don't waste your time and my time. I'm a busy guy.",14500,car/6126569187_0.jpg,8700,,14500,,1.0,5800
S_cqpfwVn2KbpLhHaH,6120095569,housing,Beautiful Renovated Studio with Balcony by Lake Merritt,"This beautiful remodeled studio offers: Refinished hardwood floors Great studio layout with sleeping area Brand new kitchen with stainless steel appliances Private balcony with Oakland views Brand new bathroom with incredible lighting Two huge closets (one with full-length mirrors) Laundry and Elevator in the building Spend your evenings strolling around Lake Merritt, grab coffee (or a beer) at the fabulous Rooz Cafe just around the corner, or walk over to Lucky's grocery store, pickup a carton of ice cream and spend the night snuggled up with your loved ones in this secure, pet-friendly apartment. This unit is great for commuters as it's 1 mile away from Lake Merritt BART station, and is walking-distance from a Walgreens, Chase Bank, various cafes, a laundromat, and several restaurants. Oh, and did we mention you'll be living right next to the Lake? We also have a few 1 bedrooms left in the same building. Take a look at them all and have your pick! Alexandra Burgess | Leasing Agent We do business in accordance with Fair Housing Laws",1895,housing/6120095569_0.jpg,1743,,1895,,0.2,152
S_WuUwTNFoYXUoTzCY,6132725826,car,2007 Mazda cx-9,2007 Mazda cx-9 2wheel drive. Truck has 138k miles. Did all brakes and rotors all around also just did tune up and transmission flush a week ago. Clean title. Also come with 22 inch rims and stock tires.,8800,car/6132725826_0.jpg,6688,,8800,,0.6,2112
S_1WzluH63pJcnxs7c,6128990620,car,2016 mercedes benz c300,"Im selling 2016 Mercedes Benz C300 1OWNER  Automatic,Fully Loaded, Only 16,473 Miles,Car with Free Warranty,Please Serious Buyers  Don""t Waste my Time Thanks",26800,car/6128990620_0.jpg,24656,,26800,,0.2,2144
S_43OFqZDslp4EkMHh,6154347718,phone,BLU R1 HD - 16 GB,BLU R1 HD - 16 GB - Black - Amazon Prime Exclusive - with Lockscreen Offers & Ads. Comes with case.,50,,38,,50,,0.6,12
S_BU1pSG4UGGuv6d99,6131492247,housing,Live/work 3br apt. ner West Oak. Bart & S.F.,2950.00 for a 3 bedrooms and 2 Bathrooms Live/work apartment near the West Oakland Bart Station and about 10 minutes to San Francisco via Bay Bridge this space is 10 ft. ceiling the floors are ceramic title and Laminated the ceiling have 2 skylights and 1 off street parking with laundry hookups the address is 333 Henry St. Oakland the deposit is 1500.00 no section 8 if you have any question you can call Rafa at to schedule a time,2950,,2714,,2950,,0.2,236
S_cFqc6FiukST1ckZM,6147932864,phone,Unlocked Brand New Apple iphone 7 Plus 128GB Jet Black,"We have rose gold, matte black and gold color too. This phone is unlocked. You can use the phones in all GSM SIM CARD carriers such as AT&T/T-Mobile or international -Cash only -Local starbucks for pick up -Apple Manufacturer Warranty",780,,717,,780,,0.2,63
